recipe name,Category,Description,,,,
Wilted Lettuce Salad,lunch,This wilted salad is lightly coated with a delectable warm dressing.,,,,
The Perfect Sunday Brunch Spinach Salad,lunch,"My coworker Lori makes this salad whenever she is in charge of Friday breakfast and we all absolutely love it...and it's so easy. Absolutely no cooking required, so it's great during the warm summer months.",,,,
Grilled Hearts of Romaine,lunch,This is truly and ridiculously easy. The trick is to get the grill grates very hot. And the result? A lightly caramelized surface and a slightly smoky flavor. The insides stay cool and crisp. It's quite a contrast of tastes and textures.,,,,
Strawberry and Feta Salad,lunch,"This unusual combination of strawberries, feta cheese, toasted almonds and romaine lettuce in a sweet and tangy dressing is sure to please your guests. A guaranteed pleaser for any potluck or BBQ meal!!!",,,,
Wild Rocket Arugula and Parmesan Salad,lunch,"Quick, easy, healthy, looks like the salad dishes you'd find in an upscale restaurant. You can serve it as a salad before the meal or on the plate with the meal.",,,,
Kale and Quinoa Salad,lunch,"Delicious and nutritious! This salad is sure to please the crowd! And with so many options to mix and match to your tastes, you can't go wrong. You can play with the kale-to-quinoa ratio to make this your own. Use alternative nuts and dried fruit to customize to your own taste buds.",,,,
Dandelion Salad,lunch,This is a very good use of all those annoying dandelions growing in your yard. Just so long as you don't have a dog! Top with your favorite dressing. I prefer hot bacon dressing!,,,,
Blue Cheese and Dried Cranberry Tossed Salad,lunch,This is a very tasty salad; a swanky version of a regular everyday salad. The addition of blue cheese and dried cranberries give it something special. Wherever it is brought people always ask for the recipe!,,,,
Harvest Salad,lunch,"Spinach salad with blue cheese, walnuts, and dried cranberries. If you can't find walnut oil, olive oil may be substituted.",,,,
Warm Shrimp Salad,lunch,"A salad made of butter lettuce and shrimp sauteed in butter and lemon. Use your favorite salad dressing or vinaigrette, and vary the amount to your liking.",,,,
Super Summer Kale Salad,lunch,"Recreated from a deli salad sold at a national grocery. Makes a HUGE bowl, enough to serve a crowd; travels well to a potluck.",,,,
Arugula and Strawberry Salad with Feta Cheese,dessert,Very easy salad to throw together and the taste is so refreshing.,,,,
Yummy Bok Choy Salad,lunch,"This is hands down the best salad that I've ever had. It is definitely a family favourite, and I urge you to just give this one a try. You would think that raw baby bok choy would give this salad a bitter taste, but the dressing makes all the difference.",,,,
Christmas Pomegranate Salad,dinner,"I love mixing up cheese and fruit in salads! This salad is not only tasty, it is full of great nutrients and antioxidants from the pomegranate seeds.",,,,
Classic Tossed Salad,lunch,"This is a delicious salad that goes great with any meal, especially Italian!",,,,
Steak Salad,lunch,This is a quick and easy meal for those hot summer evenings.,,,,
Strawberry Romaine Salad I,lunch,"For my wedding shower everyone brought a few recipes and this is one of my favorites. It is refreshing and pretty. This salad also travels well, just save the dressing and use it just before.",,,,
Summer Strawberry Salad,lunch,"I was asked to take a salad to a backyard get-together and didn't want to just take the same old thing, so I came up with this recipe, which combines features of several different salads I've had in the past. Look for my recipes for balsamic vinaigrette and creamy orange soy dressings on this site. Both are excellent with this salad.",,,,
Cranberry Pecan Salad,lunch,"Raspberry Dijon vinaigrette is savory with cranberries, toasted pecans, red onion, and feta cheese. A real crowd pleaser! Can substitute brie for feta, too.",,,,
Pear and Blue Cheese Salad,breakfast,"This salad brings together ingredients that really enhance each other, and the dressing packs a perfect punch with maple syrup, brown sugar, and apple cider vinegar. It's a favorite in my family!",,,,
Colorful Kale and Spinach Salad and Homemade Dressing,breakfast,I made this because of my husband. He wanted kale in a salad. The rest of the veggies I just happen to have on hand. It became an instant favorite to my husband. Hope you enjoy it as he does!!! You could also use distilled vinegar instead of balsamic. Tweak it to your liking and have fun with it.,,,,
Cheesy Grits,breakfast,"Grits ... easy, cheesy, and delicious!",,,,
Cheesy Baked Grits,dinner,"I had this at a party at a colleague's house. I've loved cheese grits for years, but these are by far the best I've ever had.",,,,
Kentucky Garlic Cheese Grits,dinner,A wonderful dish that is a favorite for Derby Day (or any day) brunch.,,,,
Chef Johns Shrimp and Grits,dinner,"Shrimp and grits is a very simple recipe, but make sure you have everything ready before you start cooking the shrimp. They only take a few minutes to saut, so you don't have time to run and chop scallions or juice a lemon. Once everything is assembled, this recipe is a snap. To make things even easier, you can make the grits a bit ahead since they stay hot a very long time.",,,,
Cheesy Shrimp and Grits,dinner,Cheesy grits and shrimp.,,,,
Spicy Shrimp and Grits,dinner,Quick and easy! This one will be loved by the whole family; it is a constant favorite in my house!,,,,
Shrimp and Grits Louisiana Style,breakfast,Probably the best shrimp and grits recipe I have made! Easy and low ingredient count!,,,,
Shrimp and Cheesy Grits with Bacon,breakfast,Lowcountry-style shrimp and grits with bacon at its best!,,,,
Grits a Ya Ya,breakfast,"A friend of mine made this grits a ya ya dish for a Mardi Gras dinner. It was so delicious, I just had to have the recipe.",,,,
Sausage Cheese Grits,breakfast,"This sausage and grits dish is great and flavorful. You can also use mild sausage and less hot sauce if you prefer to avoid the extra spice. The recipe can also be prepared up to the baking stage, and refrigerated or frozen until ready to finish.",,,,
"Grits, Sausage, and Egg Casserole",dinner,"Every time I make this someone wants the recipe. It is great if you have overnight guests. Make it ahead and enjoy the morning with them. Check for doneness by inserting a knife in casserole. If it comes out clean you are ready to serve. This is a great brunch recipe served with biscuits, sweet rolls, and fresh fruit.",,,,
Oklahoma Cheese Grits,dinner,"It's a great day when my mom serves up this Southern specialty! Cooked grits are combined with seasonings, cheese, and eggs, then baked. The eggs are the secret to light fluffy grits that melt in your mouth! You may adjust or eliminate the hot sauce to suit your taste.",,,,
Garlic Cheese Grits with Shrimp,breakfast,This is my version of a South Carolina coastal specialty. It will make a grits lover out of anyone!,,,,
Garlic Shrimp and Cheesy Grits,dinner,"Shrimp cooked with garlic and onion are served over garlic cheese grits. This is a dish for garlic lovers. Serve with garlic bread, or your preference of bread.",,,,
Southern Cheese Grits,breakfast,"A Southern tradition, creamy cheese grits with a zip of spice makes for a perfect side dish to barbecue, or for a holiday get together. They were always on the table at my mother-in-law's house. A real family tradition.",,,,
